transaction_id,product_id,customer_id,transaction_date,comparison date,recency (days),online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,profit,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,
20,25,3002,28/01/2017,30/12/2017,336,TRUE,Approved,Giant Bicycles,Road,medium,medium,"$1,538.99",$829.65,22/03/2002,$709.34,M,62,06/12/1956,Paralegal,Financial Services,Mass Customer,N,Yes,16,
21,27,1582,09/10/2017,30/12/2017,82,FALSE,Approved,Trek Bicycles,Standard,medium,medium,$499.53,$388.72,23/06/1999,$110.81,M,32,14/01/1978,Office Assistant III,Property,Mass Customer,N,No,4,
22,37,595,29/06/2017,30/12/2017,184,TRUE,Approved,OHM Cycles,Standard,low,medium,"$1,793.43",$248.82,20/07/1999,"$1,544.61",M,72,12/05/1973,VP Marketing,Financial Services,Mass Customer,N,No,22,
23,37,2001,08/04/2017,30/12/2017,266,TRUE,Approved,OHM Cycles,Standard,low,medium,"$1,793.43",$248.82,21/05/2015,"$1,544.61",F,21,06/10/1977,Analog Circuit Design manager,Manufacturing,Mass Customer,N,Yes,3,
24,82,515,18/10/2017,30/12/2017,73,FALSE,Approved,Giant Bicycles,Road,medium,medium,"$1,538.99",$829.65,04/02/2016,$709.34,F,55,04/09/1989,Help Desk Operator,IT,High Net Worth,N,No,8,
25,89,2822,11/06/2017,30/12/2017,202,FALSE,Approved,WeareA2B,Touring,medium,large,"$1,362.99",$57.74,20/04/1993,"$1,305.25",F,83,14/05/1981,Professor,n/a,Mass Customer,N,No,3,
26,64,2596,10/01/2017,30/12/2017,354,FALSE,Approved,Trek Bicycles,Standard,medium,large,"$1,469.44",$596.55,21/05/2015,$872.89,F,51,20/08/1976,Assistant Professor,n/a,Affluent Customer,N,Yes,13,
27,64,2666,11/04/2017,30/12/2017,263,TRUE,Approved,Trek Bicycles,Standard,medium,large,"$1,469.44",$596.55,18/05/2012,$872.89,M,2,16/02/1971,Occupational Therapist,Health,Mass Customer,N,No,9,
28,19,76,23/12/2017,30/12/2017,7,FALSE,Approved,Trek Bicycles,Mountain,low,medium,$574.64,$459.71,09/07/2016,$114.93,F,20,23/01/1978,Statistician II,Retail,High Net Worth,N,Yes,18,
29,72,3368,13/10/2017,30/12/2017,78,TRUE,Approved,Norco Bicycles,Standard,medium,medium,$360.40,$270.30,06/12/2016,$90.10,F,7,17/07/1967,Technical Writer,Financial Services,Affluent Customer,N,No,16,
30,91,1173,15/03/2017,30/12/2017,290,FALSE,Approved,WeareA2B,Standard,low,medium,$642.31,$513.85,10/10/2014,$128.46,F,58,02/03/1978,Statistician IV,Retail,High Net Worth,N,No,16,
31,88,2810,05/09/2017,30/12/2017,116,TRUE,Approved,Norco Bicycles,Standard,medium,medium,"$1,198.46",$381.10,10/10/2002,$817.36,M,27,26/08/1961,0,Property,Mass Customer,N,Yes,15,
32,1,3214,18/02/2017,30/12/2017,315,FALSE,Approved,Giant Bicycles,Standard,medium,medium,"$1,403.50",$954.82,14/11/2016,$448.68,F,2,21/01/1993,Software Engineer III,Financial Services,Mass Customer,N,Yes,9,
33,25,1272,20/03/2017,30/12/2017,285,FALSE,Approved,Giant Bicycles,Road,medium,medium,"$1,538.99",$829.65,04/02/2016,$709.34,F,2,04/04/1985,0,Manufacturing,Affluent Customer,N,No,17,
34,99,2003,28/02/2017,30/12/2017,305,TRUE,Approved,Trek Bicycles,Road,low,small,"$1,720.70","$1,531.42",01/10/2006,$189.28,F,80,21/06/1962,Statistician III,Manufacturing,High Net Worth,N,Yes,8,
35,0,2171,20/08/2017,30/12/2017,132,FALSE,Approved,Norco Bicycles,Road,medium,medium,$544.05,$376.84,22/10/2005,$167.21,F,21,10/02/1970,Pharmacist,Health,High Net Worth,N,No,10,
36,92,3356,07/07/2017,30/12/2017,176,FALSE,Approved,WeareA2B,Standard,medium,small,"$1,415.01","$1,259.36",10/09/2003,$155.65,M,47,23/03/1959,Safety Technician II,Financial Services,Mass Customer,N,Yes,6,
37,14,1040,09/01/2017,30/12/2017,355,FALSE,Approved,Solex,Standard,high,large,"$1,842.92","$1,105.75",24/10/1995,$737.17,F,78,04/03/1975,Food Chemist,Health,High Net Worth,N,No,9,
38,2,2916,06/12/2017,30/12/2017,24,FALSE,Approved,Solex,Standard,medium,medium,$71.49,$53.62,07/11/1991,$17.87,M,23,03/08/1969,Product Engineer,Manufacturing,Affluent Customer,N,Yes,9,
39,12,427,12/09/2017,30/12/2017,109,FALSE,Approved,WeareA2B,Standard,medium,medium,"$1,231.15",$161.60,07/12/2005,"$1,069.55",M,77,19/12/1996,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,2,
40,0,2448,28/11/2017,30/12/2017,32,TRUE,Approved,Norco Bicycles,Road,medium,medium,$544.05,$376.84,22/10/2005,$167.21,F,5,18/12/1992,Structural Analysis Engineer,Property,High Net Worth,N,No,10,
41,44,2570,08/05/2017,30/12/2017,236,TRUE,Approved,WeareA2B,Standard,medium,medium,"$1,769.64",$108.76,16/02/2003,"$1,660.88",M,13,10/09/1977,Professor,Financial Services,Mass Customer,N,Yes,18,
42,79,3398,14/05/2017,30/12/2017,230,FALSE,Approved,Solex,Touring,medium,large,"$2,083.94",$675.03,16/09/2013,"$1,408.91",M,69,01/07/1971,0,n/a,High Net Worth,N,Yes,7,
43,76,488,17/03/2017,30/12/2017,288,FALSE,Cancelled,WeareA2B,Standard,low,medium,$642.31,$513.85,10/10/2014,$128.46,F,24,11/07/1980,Help Desk Operator,Property,Mass Customer,N,Yes,10,
44,46,165,22/12/2017,30/12/2017,8,FALSE,Approved,Solex,Standard,low,medium,"$1,289.85",$74.51,16/02/2003,"$1,215.34",M,61,25/03/1984,Administrative Officer,Argiculture,Mass Customer,N,Yes,12,
45,55,2787,07/06/2017,30/12/2017,206,TRUE,Approved,Trek Bicycles,Road,medium,large,"$1,894.19",$598.76,17/06/2015,"$1,295.43",F,92,26/09/1980,Marketing Assistant,n/a,Affluent Customer,N,Yes,6,
46,66,3053,20/06/2017,30/12/2017,193,FALSE,Approved,Solex,Standard,medium,medium,"$1,163.89",$589.27,09/07/2016,$574.62,F,67,12/09/1984,Account Coordinator,Retail,High Net Worth,N,No,17,
47,35,475,07/05/2017,30/12/2017,237,TRUE,Approved,Trek Bicycles,Standard,low,medium,"$1,057.51",$154.40,12/07/1994,$903.11,M,0,14/11/1996,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,1,
48,81,1305,10/06/2017,30/12/2017,203,TRUE,Approved,Solex,Standard,medium,medium,"$1,151.96",$649.49,10/04/2012,$502.47,M,97,01/03/1970,Executive Secretary,Financial Services,High Net Worth,N,Yes,6,
49,86,1251,17/06/2017,30/12/2017,196,FALSE,Approved,OHM Cycles,Standard,medium,medium,$235.63,$125.07,07/08/2004,$110.56,M,63,01/10/1997,Desktop Support Technician,Property,Mass Customer,N,No,2,
50,32,3103,10/05/2017,30/12/2017,234,FALSE,Approved,Giant Bicycles,Standard,medium,medium,$642.70,$211.37,22/03/2002,$431.33,F,5,21/10/1953,Safety Technician II,Retail,Mass Customer,N,No,20,
51,77,3108,24/03/2017,30/12/2017,281,FALSE,Approved,Norco Bicycles,Road,medium,large,"$1,240.31",$795.10,10/01/2011,$445.21,M,94,01/10/1967,Accounting Assistant III,Entertainment,Mass Customer,N,No,10,
52,96,857,27/11/2017,30/12/2017,33,FALSE,Approved,Giant Bicycles,Standard,medium,large,"$1,635.30",$993.66,11/12/2007,$641.64,F,15,14/08/1964,General Manager,n/a,High Net Worth,N,No,4,
53,6,3455,21/12/2017,30/12/2017,9,TRUE,Approved,OHM Cycles,Standard,high,medium,$227.88,$136.73,07/11/1991,$91.15,M,29,25/02/1954,Administrative Officer,n/a,Mass Customer,N,Yes,11,
54,27,2549,09/02/2017,30/12/2017,324,TRUE,Approved,Trek Bicycles,Standard,medium,medium,$499.53,$388.72,12/07/1994,$110.81,M,12,07/08/1998,Pharmacist,Health,Mass Customer,N,Yes,4,
55,0,3140,18/09/2017,30/12/2017,103,FALSE,Approved,Norco Bicycles,Standard,low,medium,$363.01,$290.41,10/05/2005,$72.60,F,2,11/06/1985,Legal Assistant,Manufacturing,High Net Worth,N,No,16,
56,47,3406,14/11/2017,30/12/2017,46,FALSE,Approved,Trek Bicycles,Road,low,small,"$1,720.70","$1,531.42",09/02/1997,$189.28,F,35,28/04/1979,Business Systems Development Analyst,IT,Mass Customer,N,Yes,10,
57,94,2294,30/08/2017,30/12/2017,122,TRUE,Approved,Giant Bicycles,Standard,medium,large,"$1,635.30",$993.66,09/06/2013,$641.64,M,25,16/06/1987,Associate Professor,Manufacturing,Mass Customer,N,No,21,
58,91,1031,14/11/2017,30/12/2017,46,FALSE,Approved,Solex,Standard,medium,medium,$100.35,$75.26,26/07/1999,$25.09,M,75,15/09/1983,Junior Executive,Manufacturing,Mass Customer,N,No,6,
59,93,993,15/02/2017,30/12/2017,318,TRUE,Approved,OHM Cycles,Standard,high,medium,"$1,458.17",$874.90,02/02/2006,$583.27,F,71,18/02/1977,Account Coordinator,Argiculture,High Net Worth,N,No,17,
60,60,3473,18/12/2017,30/12/2017,12,FALSE,Approved,Giant Bicycles,Standard,high,small,"$1,977.36","$1,759.85",28/07/2014,$217.51,U,34,00/01/1900,Analog Circuit Design manager,IT,Mass Customer,N,No,0,
61,0,1839,24/02/2017,30/12/2017,309,FALSE,Approved,OHM Cycles,Road,high,large,$12.01,$7.21,02/10/1993,$4.80,F,60,08/05/1987,Internal Auditor,Entertainment,High Net Worth,N,Yes,5,
62,33,1824,18/12/2017,30/12/2017,12,TRUE,Approved,Giant Bicycles,Standard,medium,small,"$1,311.44","$1,167.18",11/10/1992,$144.26,F,12,12/10/1959,Safety Technician III,Manufacturing,Affluent Customer,N,Yes,5,
63,35,368,17/12/2017,30/12/2017,13,FALSE,Approved,Giant Bicycles,Standard,medium,medium,"$1,403.50",$954.82,14/11/2016,$448.68,F,32,26/11/1986,0,Financial Services,High Net Worth,N,No,6,
64,0,2000,08/07/2017,30/12/2017,175,FALSE,Approved,Trek Bicycles,Standard,medium,medium,$499.53,$388.72,10/11/2006,$110.81,U,68,00/01/1900,Assistant Professor,IT,High Net Worth,N,Yes,0,
65,28,825,16/05/2017,30/12/2017,228,TRUE,Approved,Norco Bicycles,Standard,medium,small,"$1,216.14","$1,082.36",22/11/2016,$133.78,M,17,15/08/1975,Computer Systems Analyst IV,n/a,Affluent Customer,N,Yes,16,
66,86,3315,23/02/2017,30/12/2017,310,TRUE,Approved,OHM Cycles,Standard,medium,medium,$235.63,$125.07,26/07/1999,$110.56,F,77,08/09/1994,Account Executive,Property,Mass Customer,N,Yes,5,
67,2,75,03/07/2017,30/12/2017,180,TRUE,Approved,Solex,Standard,medium,medium,$71.49,$53.62,02/12/2012,$17.87,F,28,15/07/1978,VP Product Management,Property,Mass Customer,N,No,19,
68,4,1498,30/09/2017,30/12/2017,91,TRUE,Approved,Giant Bicycles,Standard,high,medium,"$1,129.13",$677.48,28/09/2004,$451.65,F,84,27/09/1989,Nurse,n/a,Affluent Customer,N,Yes,13,
69,38,1612,21/10/2017,30/12/2017,70,TRUE,Approved,Trek Bicycles,Standard,medium,large,"$2,091.47",$388.92,15/09/2012,"$1,702.55",M,70,17/04/1987,Community Outreach Specialist,Financial Services,High Net Worth,N,Yes,22,
70,27,2192,06/05/2017,30/12/2017,238,TRUE,Approved,Trek Bicycles,Standard,medium,medium,$499.53,$388.72,23/06/1999,$110.81,M,93,27/08/1966,Staff Accountant II,n/a,Mass Customer,N,No,14,
71,54,419,03/01/2017,30/12/2017,361,FALSE,Approved,WeareA2B,Standard,medium,medium,"$1,292.84",$13.44,12/04/2009,"$1,279.40",F,34,26/01/1981,VP Marketing,Manufacturing,Affluent Customer,N,No,17,
72,77,3307,09/05/2017,30/12/2017,235,TRUE,Approved,WeareA2B,Standard,medium,medium,"$1,769.64",$108.76,09/05/2011,"$1,660.88",F,96,02/09/1978,Analyst Programmer,Health,High Net Worth,N,No,14,
73,22,2430,23/07/2017,30/12/2017,160,FALSE,Approved,WeareA2B,Standard,medium,medium,$60.34,$45.26,15/07/1993,$15.08,M,38,06/09/1968,Quality Engineer,n/a,Mass Customer,N,No,5,
74,56,1506,21/01/2017,30/12/2017,343,TRUE,Approved,OHM Cycles,Standard,medium,medium,$183.86,$137.90,04/10/1997,$45.96,M,21,21/02/1958,0,Property,Mass Customer,N,No,17,
75,58,1346,20/06/2017,30/12/2017,193,FALSE,Approved,OHM Cycles,Standard,medium,medium,$912.52,$141.40,18/10/2015,$771.12,M,9,19/06/1970,Administrative Assistant IV,Telecommunications,Mass Customer,N,No,19,
76,22,927,10/03/2017,30/12/2017,295,FALSE,Approved,WeareA2B,Standard,medium,medium,$60.34,$45.26,10/11/1991,$15.08,M,25,19/02/1966,Cost Accountant,Financial Services,Mass Customer,N,Yes,18,
77,50,763,02/06/2017,30/12/2017,211,FALSE,Approved,WeareA2B,Standard,medium,small,$175.89,$131.92,16/02/2003,$43.97,F,95,05/11/1987,Computer Systems Analyst IV,Manufacturing,Affluent Customer,N,No,12,
78,80,2397,07/11/2017,30/12/2017,53,FALSE,Approved,OHM Cycles,Touring,low,medium,"$1,073.07",$933.84,16/12/1998,$139.23,M,33,10/06/1985,Analyst Programmer,Retail,Affluent Customer,N,Yes,4,
79,87,102,12/09/2017,30/12/2017,109,TRUE,Approved,Giant Bicycles,Standard,high,medium,"$1,179.00",$707.40,25/08/1997,$471.60,M,51,27/11/1956,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16,
80,15,2884,16/12/2017,30/12/2017,14,FALSE,Approved,Norco Bicycles,Standard,low,medium,$958.74,$748.90,07/12/2005,$209.84,F,99,06/01/1962,Assistant Professor,n/a,Mass Customer,N,No,15,
81,84,759,07/10/2017,30/12/2017,84,TRUE,Approved,Giant Bicycles,Road,medium,medium,$792.90,$594.68,02/10/1992,$198.22,M,89,18/04/1963,Clinical Specialist,Health,High Net Worth,N,No,13,
82,21,773,27/04/2017,30/12/2017,247,TRUE,Approved,Solex,Standard,medium,large,"$1,071.23",$380.74,07/05/2011,$690.49,M,77,12/02/1985,0,Financial Services,Affluent Customer,N,Yes,20,
83,0,3398,01/04/2017,30/12/2017,273,TRUE,Approved,OHM Cycles,Standard,medium,medium,$235.63,$125.07,05/01/2003,$110.56,M,69,01/07/1971,0,n/a,High Net Worth,N,Yes,7,
84,33,3297,02/11/2017,30/12/2017,58,TRUE,Approved,Giant Bicycles,Standard,medium,small,"$1,311.44","$1,167.18",11/10/1992,$144.26,M,39,26/04/1975,Product Engineer,Manufacturing,Mass Customer,N,No,13,
85,84,2434,13/02/2017,30/12/2017,320,TRUE,Approved,Trek Bicycles,Road,medium,medium,$290.62,$215.14,18/12/2004,$75.48,M,40,17/11/1956,Environmental Specialist,n/a,Affluent Customer,N,No,18,
86,1,1861,19/07/2017,30/12/2017,164,FALSE,Approved,Giant Bicycles,Standard,medium,medium,"$1,403.50",$954.82,28/09/2004,$448.68,F,26,18/07/1967,Geological Engineer,Manufacturing,Mass Customer,N,Yes,8,
87,27,1233,23/05/2017,30/12/2017,221,FALSE,Approved,Trek Bicycles,Standard,medium,medium,$499.53,$388.72,05/08/1991,$110.81,F,17,07/07/1978,0,Retail,Affluent Customer,N,Yes,16,
88,31,1390,06/08/2017,30/12/2017,146,FALSE,Approved,WeareA2B,Standard,medium,medium,$752.64,$205.36,20/04/1993,$547.28,F,74,25/01/2000,Accounting Assistant I,Retail,High Net Worth,N,Yes,1,
89,0,2682,04/04/2017,30/12/2017,270,TRUE,Approved,OHM Cycles,Road,high,large,$12.01,$7.21,05/05/2010,$4.80,F,54,01/11/1987,Accountant III,Manufacturing,High Net Worth,N,Yes,20,
90,62,439,15/08/2017,30/12/2017,137,TRUE,Approved,Solex,Standard,medium,medium,$478.16,$298.72,23/06/1993,$179.44,F,26,08/07/1974,GIS Technical Architect,n/a,Affluent Customer,N,No,10,
91,17,1579,15/04/2017,30/12/2017,259,TRUE,Approved,Solex,Standard,high,medium,"$1,024.66",$614.80,05/04/1996,$409.86,F,40,27/01/1978,Desktop Support Technician,Financial Services,Affluent Customer,N,Yes,17,
92,73,2984,25/07/2017,30/12/2017,158,TRUE,Approved,Solex,Standard,medium,medium,"$1,945.43",$333.18,22/05/2000,"$1,612.25",F,48,23/05/1959,Payment Adjustment Coordinator,Manufacturing,Mass Customer,N,Yes,13,
93,33,3470,28/11/2017,30/12/2017,32,TRUE,Approved,Giant Bicycles,Standard,medium,small,"$1,311.44","$1,167.18",04/12/1999,$144.26,F,56,01/10/1967,Recruiting Manager,Health,Affluent Customer,N,Yes,6,
94,86,1,23/12/2017,30/12/2017,7,FALSE,Approved,OHM Cycles,Standard,medium,medium,$235.63,$125.07,10/05/2005,$110.56,F,93,12/10/1953,Executive Secretary,Health,Mass Customer,N,Yes,11,
95,45,757,26/02/2017,30/12/2017,307,FALSE,Approved,Solex,Standard,medium,medium,$441.49,$84.99,12/04/1993,$356.50,M,91,13/05/1977,Environmental Tech,Financial Services,Mass Customer,N,No,18,
96,1,1778,21/02/2017,30/12/2017,312,FALSE,Approved,Giant Bicycles,Standard,medium,medium,"$1,403.50",$954.82,16/04/2011,$448.68,F,72,30/07/2000,Staff Accountant III,n/a,Mass Customer,N,Yes,2,
97,80,211,31/05/2017,30/12/2017,213,TRUE,Approved,OHM Cycles,Touring,low,medium,"$1,073.07",$933.84,18/12/2004,$139.23,F,6,04/03/1974,VP Marketing,Manufacturing,Mass Customer,N,Yes,5,
98,49,333,23/06/2017,30/12/2017,190,,Approved,Trek Bicycles,Road,medium,medium,$533.51,$400.13,21/07/2003,$133.38,F,25,20/06/1965,Sales Associate,Financial Services,Affluent Customer,N,Yes,8,
99,95,32,26/03/2017,30/12/2017,279,FALSE,Approved,Giant Bicycles,Standard,medium,large,$569.56,$528.43,10/09/2003,$41.13,F,17,20/04/1995,Legal Assistant,Manufacturing,Affluent Customer,N,No,4,
100,0,119,31/07/2017,30/12/2017,152,FALSE,Approved,Solex,Standard,medium,medium,$478.16,$298.72,17/12/1998,$179.44,M,9,04/12/1981,Associate Professor,n/a,High Net Worth,N,Yes,9,
101,18,2347,27/07/2017,30/12/2017,156,FALSE,Approved,Norco Bicycles,Standard,high,medium,"$1,148.64",$689.18,10/08/2015,$459.46,F,79,04/03/1957,Programmer Analyst I,n/a,High Net Worth,N,No,11,
102,4,2353,14/04/2017,30/12/2017,260,FALSE,Approved,Giant Bicycles,Standard,high,medium,"$1,129.13",$677.48,16/04/2011,$451.65,M,93,27/12/1978,Health Coach IV,Health,Affluent Customer,N,Yes,12,
103,33,788,12/11/2017,30/12/2017,48,FALSE,Approved,Giant Bicycles,Standard,medium,small,"$1,311.44","$1,167.18",11/10/1992,$144.26,M,62,01/07/1964,Social Worker,Health,Mass Customer,N,No,11,
104,78,1468,12/09/2017,30/12/2017,109,FALSE,Approved,Giant Bicycles,Standard,medium,large,"$1,765.30",$709.48,25/07/2004,"$1,055.82",F,37,10/01/1978,Financial Advisor,Financial Services,Mass Customer,N,No,22,
105,89,821,26/10/2017,30/12/2017,65,FALSE,Approved,WeareA2B,Touring,medium,large,"$1,362.99",$57.74,09/06/2013,"$1,305.25",M,41,24/07/1981,Financial Analyst,Financial Services,Mass Customer,N,Yes,7,
106,70,2489,15/02/2017,30/12/2017,318,FALSE,Approved,Trek Bicycles,Standard,high,medium,$495.72,$297.43,11/04/2015,$198.29,F,42,12/06/1976,Speech Pathologist,Retail,Mass Customer,N,No,15,
107,79,2710,22/12/2017,30/12/2017,8,FALSE,Approved,Norco Bicycles,Standard,medium,medium,"$1,555.58",$818.01,09/09/2003,$737.57,M,77,30/01/1998,0,Retail,Mass Customer,N,No,2,
108,26,947,11/10/2017,30/12/2017,80,TRUE,Approved,WeareA2B,Standard,medium,medium,"$1,992.93",$762.63,26/05/1993,"$1,230.30",F,43,10/03/1986,Pharmacist,Health,Mass Customer,N,No,10,
109,39,1335,27/03/2017,30/12/2017,278,TRUE,Approved,Giant Bicycles,Standard,medium,large,"$1,812.75",$582.48,01/10/2006,"$1,230.27",F,57,14/08/1997,0,Entertainment,Mass Customer,N,Yes,3,
110,36,1076,04/11/2017,30/12/2017,56,FALSE,Approved,Solex,Standard,low,medium,$945.04,$507.58,19/12/1995,$437.46,M,33,06/06/2000,Pharmacist,Health,Affluent Customer,N,No,2,
111,0,3320,11/06/2017,30/12/2017,202,TRUE,Approved,OHM Cycles,Standard,low,medium,$71.16,$56.93,17/06/2015,$14.23,F,16,02/06/1994,Nuclear Power Engineer,Manufacturing,High Net Worth,N,No,6,
112,84,779,09/10/2017,30/12/2017,82,FALSE,Approved,Giant Bicycles,Road,medium,medium,$792.90,$594.68,02/10/1992,$198.22,F,1,10/02/1992,Staff Accountant III,Health,High Net Worth,N,No,7,
113,98,3296,07/06/2017,30/12/2017,206,TRUE,Approved,Trek Bicycles,Standard,high,medium,$358.39,$215.03,06/05/1991,$143.36,F,78,11/11/1974,Quality Engineer,Financial Services,Affluent Customer,N,Yes,17,
114,75,455,24/10/2017,30/12/2017,67,TRUE,Approved,Giant Bicycles,Touring,medium,large,"$1,873.97",$863.95,09/09/2003,"$1,010.02",M,97,02/11/1991,Civil Engineer,Manufacturing,Mass Customer,N,Yes,5,
115,76,1779,01/05/2017,30/12/2017,243,FALSE,Approved,WeareA2B,Standard,low,medium,$642.31,$513.85,10/05/2005,$128.46,M,55,19/11/1996,Information Systems Manager,Argiculture,Affluent Customer,N,No,5,
116,72,2703,21/11/2017,30/12/2017,39,TRUE,Approved,Norco Bicycles,Standard,medium,medium,$360.40,$270.30,10/01/2011,$90.10,F,37,12/04/1980,0,Manufacturing,Affluent Customer,N,Yes,18,
117,42,806,24/03/2017,30/12/2017,281,FALSE,Approved,OHM Cycles,Road,medium,small,"$1,810.00","$1,610.90",12/04/1993,$199.10,M,66,28/07/1992,Sales Representative,Retail,Mass Customer,N,Yes,7,
118,20,22,21/03/2017,30/12/2017,284,FALSE,Approved,Trek Bicycles,Standard,medium,small,"$1,775.81","$1,580.47",05/05/2010,$195.34,F,79,10/12/1962,0,IT,Mass Customer,N,No,11,
119,64,1591,20/02/2017,30/12/2017,313,FALSE,Approved,Trek Bicycles,Standard,medium,large,"$1,469.44",$596.55,22/10/2005,$872.89,M,4,14/09/1976,Operator,Manufacturing,Mass Customer,N,Yes,14,
120,0,678,16/06/2017,30/12/2017,197,FALSE,Approved,Trek Bicycles,Standard,high,medium,$495.72,$297.43,11/04/2015,$198.29,F,57,31/08/1995,Accounting Assistant II,IT,High Net Worth,N,No,2,
121,25,50,04/12/2017,30/12/2017,26,FALSE,Approved,Giant Bicycles,Road,medium,medium,"$1,538.99",$829.65,11/10/1992,$709.34,M,38,01/10/1980,Account Executive,Manufacturing,Mass Customer,N,Yes,16,
122,24,1038,01/12/2017,30/12/2017,29,TRUE,Approved,Solex,Road,medium,large,"$1,777.80",$820.78,26/05/1993,$957.02,U,57,00/01/1900,Engineer I,Manufacturing,Mass Customer,N,Yes,0,
